"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"NLE00152499","EINDHOVEN, NL","2019-01-01","1.2","8.7","4.2"
"NLE00152499","EINDHOVEN, NL","2019-01-02","0.0","6.3","3.1"
"NLE00152499","EINDHOVEN, NL","2019-01-03","0.0","6.1","1.8"
"NLE00152499","EINDHOVEN, NL","2019-01-04","0.3","5.2","2.4"
"NLE00152499","EINDHOVEN, NL","2019-01-05","0.6","7.4","5.2"
"NLE00152499","EINDHOVEN, NL","2019-01-06","0.0","7.3","4.2"
"NLE00152499","EINDHOVEN, NL","2019-01-07","3.7","9.8","0.9"
"NLE00152499","EINDHOVEN, NL","2019-01-08","1.2","9.2","4.6"
"NLE00152499","EINDHOVEN, NL","2019-01-09","0.1","7.4","0.6"
"NLE00152499","EINDHOVEN, NL","2019-01-10","0.8","4.5","-1.6"
"NLE00152499","EINDHOVEN, NL","2019-01-11","2.8","8.2","2.1"
"NLE00152499","EINDHOVEN, NL","2019-01-12","4.4","8.0","5.6"
"NLE00152499","EINDHOVEN, NL","2019-01-13","12.2","9.9","6.4"
"NLE00152499","EINDHOVEN, NL","2019-01-14","2.8","7.8","0.5"
"NLE00152499","EINDHOVEN, NL","2019-01-15","0.0","7.3","0.4"
"NLE00152499","EINDHOVEN, NL","2019-01-16","1.5","7.0","5.0"
"NLE00152499","EINDHOVEN, NL","2019-01-17","6.9","5.4","-0.6"
"NLE00152499","EINDHOVEN, NL","2019-01-18","0.0","2.3","-4.7"
"NLE00152499","EINDHOVEN, NL","2019-01-19","0.0","3.1","-2.7"
"NLE00152499","EINDHOVEN, NL","2019-01-20","0.0","2.6","-6.8"
"NLE00152499","EINDHOVEN, NL","2019-01-21","0.0","3.3","-9.5"
"NLE00152499","EINDHOVEN, NL","2019-01-22","3.3","-0.5","-4.9"
"NLE00152499","EINDHOVEN, NL","2019-01-23","0.0","-0.2","-3.7"
"NLE00152499","EINDHOVEN, NL","2019-01-24","0.0","-0.9","-3.1"
"NLE00152499","EINDHOVEN, NL","2019-01-25","1.2","5.3","-1.4"
"NLE00152499","EINDHOVEN, NL","2019-01-26","1.7","8.0","5.2"
"NLE00152499","EINDHOVEN, NL","2019-01-27","8.4","7.3","2.9"
"NLE00152499","EINDHOVEN, NL","2019-01-28","10.4","6.6","0.3"
"NLE00152499","EINDHOVEN, NL","2019-01-29","0.0","4.5","-1.0"
"NLE00152499","EINDHOVEN, NL","2019-01-30","2.0","2.1","-1.6"
"NLE00152499","EINDHOVEN, NL","2019-01-31","0.0","-0.4","-4.5"
"NLE00152499","EINDHOVEN, NL","2019-02-01","3.2","4.3","-0.8"
"NLE00152499","EINDHOVEN, NL","2019-02-02","6.6","2.7","-0.1"
"NLE00152499","EINDHOVEN, NL","2019-02-03","0.0","6.6","-1.9"
"NLE00152499","EINDHOVEN, NL","2019-02-04","0.7","4.3","-1.8"
"NLE00152499","EINDHOVEN, NL","2019-02-05","0.1","5.6","1.7"
"NLE00152499","EINDHOVEN, NL","2019-02-06","4.2","7.8","1.4"
"NLE00152499","EINDHOVEN, NL","2019-02-07","2.0","10.3","5.4"
"NLE00152499","EINDHOVEN, NL","2019-02-08","3.6","9.8","5.3"
"NLE00152499","EINDHOVEN, NL","2019-02-09","0.2","10.5","6.6"
"NLE00152499","EINDHOVEN, NL","2019-02-10","22.7","9.9","3.9"
"NLE00152499","EINDHOVEN, NL","2019-02-11","0.4","8.5","-1.5"
"NLE00152499","EINDHOVEN, NL","2019-02-12","0.0","8.7","-1.9"
"NLE00152499","EINDHOVEN, NL","2019-02-13","0.0","8.7","0.3"
"NLE00152499","EINDHOVEN, NL","2019-02-14","0.0","14.3","-2.2"
"NLE00152499","EINDHOVEN, NL","2019-02-15","0.0","16.7","-0.1"
"NLE00152499","EINDHOVEN, NL","2019-02-16","0.0","15.2","-0.4"
"NLE00152499","EINDHOVEN, NL","2019-02-17","0.0","17.2","0.9"
"NLE00152499","EINDHOVEN, NL","2019-02-18","0.0","16.6","1.8"
"NLE00152499","EINDHOVEN, NL","2019-02-19","0.0","11.4","2.3"
"NLE00152499","EINDHOVEN, NL","2019-02-20","0.0","11.8","2.9"
"NLE00152499","EINDHOVEN, NL","2019-02-21","0.0","13.6","3.0"
"NLE00152499","EINDHOVEN, NL","2019-02-22","0.0","11.7","5.6"
"NLE00152499","EINDHOVEN, NL","2019-02-23","0.0","12.6","4.4"
"NLE00152499","EINDHOVEN, NL","2019-02-24","0.0","16.6","-1.3"
"NLE00152499","EINDHOVEN, NL","2019-02-25","0.0","18.6","0.9"
"NLE00152499","EINDHOVEN, NL","2019-02-26","0.0","19.7","-0.4"
"NLE00152499","EINDHOVEN, NL","2019-02-27","0.0","19.9","0.5"
"NLE00152499","EINDHOVEN, NL","2019-02-28","2.2","13.3","1.6"
"NLE00152499","EINDHOVEN, NL","2019-03-01","4.3","9.0","5.0"
"NLE00152499","EINDHOVEN, NL","2019-03-02","0.7","11.1","4.9"
"NLE00152499","EINDHOVEN, NL","2019-03-03","6.0","13.0","8.8"
"NLE00152499","EINDHOVEN, NL","2019-03-04","4.3","13.1","5.6"
"NLE00152499","EINDHOVEN, NL","2019-03-05","1.3","11.2","4.3"
"NLE00152499","EINDHOVEN, NL","2019-03-06","0.3","13.4","7.5"
"NLE00152499","EINDHOVEN, NL","2019-03-07","11.4","12.0","6.5"
"NLE00152499","EINDHOVEN, NL","2019-03-08","2.7","11.1","5.9"
"NLE00152499","EINDHOVEN, NL","2019-03-09","4.0","12.1","7.0"
"NLE00152499","EINDHOVEN, NL","2019-03-10","12.0","11.9","2.1"
"NLE00152499","EINDHOVEN, NL","2019-03-11","2.3","8.5","0.8"
"NLE00152499","EINDHOVEN, NL","2019-03-12","1.9","10.5","1.1"
"NLE00152499","EINDHOVEN, NL","2019-03-13","8.2","9.2","4.1"
"NLE00152499","EINDHOVEN, NL","2019-03-14","8.6","12.0","5.9"
"NLE00152499","EINDHOVEN, NL","2019-03-15","6.0","13.4","5.6"
"NLE00152499","EINDHOVEN, NL","2019-03-16","6.8","11.8","7.3"
"NLE00152499","EINDHOVEN, NL","2019-03-17","5.7","11.0","2.5"
"NLE00152499","EINDHOVEN, NL","2019-03-19","0.0","11.4","-2.6"
"NLE00152499","EINDHOVEN, NL","2019-03-20","0.0","13.0","2.1"
"NLE00152499","EINDHOVEN, NL","2019-03-21","0.0","15.9","2.4"
"NLE00152499","EINDHOVEN, NL","2019-03-22","0.0","19.8","3.1"
"NLE00152499","EINDHOVEN, NL","2019-03-23","0.0","12.3","5.7"
"NLE00152499","EINDHOVEN, NL","2019-03-24","0.0","11.8","1.4"
"NLE00152499","EINDHOVEN, NL","2019-03-25","1.0","10.7","3.0"
"NLE00152499","EINDHOVEN, NL","2019-03-26","0.0","10.5","2.1"
"NLE00152499","EINDHOVEN, NL","2019-03-27","0.0","12.6","2.5"
"NLE00152499","EINDHOVEN, NL","2019-03-28","0.0","12.9","2.6"
"NLE00152499","EINDHOVEN, NL","2019-03-29","0.0","18.2","0.2"
"NLE00152499","EINDHOVEN, NL","2019-03-30","0.0","19.4","3.9"
"NLE00152499","EINDHOVEN, NL","2019-03-31","0.0","13.2","4.4"
"NLE00152499","EINDHOVEN, NL","2019-04-01","0.0","15.7","1.5"
